Summary,Sentiment,Summary_len
"[ca, nt, go, wrong, crompton, brand, punjab, excel, job, summer, temp, thirtyf, fortytwo, look, qualiti, motor, great, use, indoor, air, flow, good, use, lowest, speed, one, thousand, two, hundr, sixteen, bedroom, need, summer, blanket, top, speed, easili, cool, three, thousand, six, hundr, fifteen, lobbi, great, far, water, goe, last, fifteen, hr, without, worri, 88l, capac, easi, move, even, water, fill, full, capac, never, g]",positive,104
"[great, cooler, great, price, compact, great, design, bodi, made, good, plastic, cool, effect, cooler, good, even, slowest, fan, speed, ut, give, best, resultrecommend, allalso, one, thing, need, mention, deliveri, man, great, guy, help, lot, get, product]",positive,57
"[awesom, product, make, fake, comment, bought, trial, healthier, ambienc, home, happi, made, choic, cool, room, keep, cool, day, best, put, near, window, open, door, pull, fresh, air, huge, save, electr, eco, friendli, comfi]",positive,72
"[air, throw, goodlow, nois, best, cool, medium, speedmotor, fan, partial, cover, plastic, protect, water, fall, itorigin, crompton, motor, durablewat, level, seen, clearli, outsid, bodi, coolery, fill, water, easili, front, side, cooler, big, box, avail, open, close, fill, water55, litr, tank, enough, ten, hour, cool, honey, comb, pad, good, qualiti, plastic, bodi]",positive,79
"[six, day, use, cooler, one, thousand, five, hundr, fifteen, room, buy, cooler, love, strong, solid, bodi, do, nt, worri, get, broken, easili, fill, water, front, back, give, cool, air, room, feel, like, decemb, april, use, extra, blanket, night, sleep, capac, seventyf, litr, water, last, two, day, love, run, cooler, pump, one, hour, cool, whole, room, air, mode, give, awesom, cool]",positive,108
"[good, qualiti, product, better, expect, provid, good, ventil, nice, cool, could, feel, air, twentyf, feet, away, could, nt, tri, think, could, feel, bit, far, away, well, water, easili, last, eightynin, hour, good, price9200, rang, ten, percent, discount]",positive,61
"[deliveri, time, flipkart, servic, awesom, time, cooler, does, nt, seem, costli, does, nt, cool, realli, well, even, fill, full, water, ok, warm, night, wo, nt, make, feel, eas, hot, condit, plastic, build, also, look, cheap, standard, ok, satisfi]",positive,70
"[water, pump, throw, lot, water, that, throw, warm, air, satisfi, kind, pump, qualiti, paid, lot, worth, money, work, ice, chamber, need, partial, refund]",negative,46
"[qualiti, product, crompton, look, exactli, like, websit, easi, set, use, pleas, refer, room, size, chart, buy, product, line, one, meant, somewhat, larg, room, three, speed, control, coupl, lesser, side, would, better, smell, cool, pad, report, coupl, review, mostli, dissip, within, first, eight, hour, use, final, cooler, consum, lot, water, 3lhr, w]",positive,93
"[great, job, fk, faster, deliveri, awesom, product, got, brand, new, air, cooler, first, check, sound, bad, read, reviewair, deliveri, much, better, one, thing, say, deliveri, boy, help, guy, must, go, doubt, model, ozon, fiftyf, order, got, ozon, fiftyf, accord, sailer, r, fk, show, differ, model, price]",positive,76
"[good, cooler, crompton, height, cooler, 3, ft, ten, inch, color, nice, plastic, bodi, averag, air, blow, good, stage, twelv, three, air, swing, also, three, choic, switch, first, time, fill, water, feel, nice, cold, air, feel, cool, use, accord, weather, ice, tray, top, overal, good, cooler, give, fortyf, design, thirtyf, plastic, bodi, fortyf, fan, speed, fortyf, fan, swing]",positive,100
"[bad, ever, packag, flipkart, seen, open, outer, layer, alreadi, open, look, like, use, product, air, throw, qualiti, good, expect, water, meter, top, water, tank, want, see, minimum, level, water, u, fill, atlest, fifti, liter, water, support, air, wing, cover, much, area, overal, ok, satisfi]",negative,84
"[great, product, come, nice, pack, seller, singl, crack, scratch, also, brand, new, mfg, truli, origin, gener, peopl, avoid, type, stuff, onlin, tri, also, return, polici, damag, order, within, three, day, deliv, amaz, room, cooler, come, price, rang, littl, costli, crompton, did, nt, compromis, qualiti, major, featur, alreadi, see, descript, fan, littl, noisi, wit]",positive,89
"[ten, day, sinc, i, m, use, air, cooleronc, feel, cool, breez, 10minbut, feel, humid, use, time, common, air, cooler, easi, move, fill, water, cooler, need, drain, often, knob, near, wheelsedit, three, month, use, use, hard, water, 3month, frequent, drain, 3month, pump, stop, pump, water, releas, hot, air, oni, open, clean, pad, pump, water, distribut, pipe]",positive,91
"[crompton, offer, rang, cooler, ozon, multipl, capac, water, tank, though, fan, motor, air, flow, capac, remain, case, bought, eightyeight, litr, model, satisfi, cool, castor, wheel, strong, enough, weight, eightyeight, litr, fill, water, tank, suggest, go, seventyf, litr, instead, eightyeight, litr, variant]",negative,69
"[vertic, swing, qualiti, bad, set, upward, automat, goe, due, air, goe, ca, nt, set, direct, wantvert, swing, uselesswat, fill, open, box, small, u, fill, jug, mani, water, goe, outsid, cooler, ice, chamber, useless, ice, cube, water, goe, eightyeight, liter, chamber, ice, cool, eightyeight, ltr, ice, chamber, need, direct, connect, honeycomb, pad, slide, cool, instantlyit, make, nois]",negative,90
"[never, purchas, cooler, flipkartmi, ten, thousand, five, hundr, wastedpump, work, honey, comb, drynot, give, cool, airth, slider, also, work, manual, go, minut, give, air, downwardi, regular, flipkart, custom, trust, flipkart, cooler, purchas, experi, hate, flipkart, ill, never, order, flipkart, request, return, seven, day, replac, polici, buttechnician, came]",negative,85
"[happi, cooler, give, fine, cool, less, speed, insid, hous, also, got, less, price, compar, market, price, got, good, pack, thank, flipcart]",positive,32
"[awesom, product, great, cool, effect, need, put, ice, feel, like, run, ac, fan, cool, effect, realli, good, go, without, second, opinion]",positive,30
"[good, coolerqu, i, d, good, water, capac, good, finish, fee, hour, nlyit, make, big, room, coolonli, drawback, short, power, cord, bit, noisi, even, low, speed, good, product]",positive,48
"[valu, moneypros1cool, effect, give, better, cooling2air, deliveri, strong, power, fan3capac, eightyeight, litrescons1nois, fan, nois, water, drip, noise2materi, use, look, like, cheap, plastic, corners3pow, cabl, small, realli, need, extens, useonli, peopl, want, sleep, silent, place, do, nt, buy]",positive,49
"[good, product, best, perform, crompton, desert, air, cooler, seventyf, fabul, swing, pump, three, step, speed, control, thank, much, love, crompton]",positive,26
"[nice, product, crompton, valu, money, flipkartquick, deliveri, took, two, daysprosexact, dimens, shown, product, detailsbig, water, tank75lgood, air, throw, suffici, two, hundr, thousand, two, hundr, fifti, sqft, roomwat, pump, swing, run, independ, control, knobwat, pump, fix, bottom, does, nt, bash, around, movingintern, part, like, fan, water, pipe, well, fittedsid, tray, let, extra, water, back, water, tankhoneycomb, give, better, cool]",positive,81
"[flipkart, deliv, crompton, desert, air, cooler, eightyeight, litr, well, schedul, date, buy, compar, bajaj, desert, cooler, crompton, seem, much, better, base, fan, speed, qualiti, water, tank, capac, eightyeight, litr, much, need, crompton, give, honey, comb, cool, pad, better, cool, compar, wood, wool, cool, room, effici, make, us, much, comfort, summer, chennai, citi]",positive,72
"[great, product]",positive,2
"[wow, great, job, flipcart, fast, deliveri, product, arriv, two, day, expect, date, product, good, valu, money, thank]",positive,22
"[use, last, ten, dayson, best, cooler, come, across, got, price, rs, eight, thousand, ninetynin, lot, research, cooler, buy, suggestions1, proper, cross, ventil, requir, optim, cool, instal, near, window, natur, air, circul, occurshoneycomb, cool, pad, good, larger, pore, air, suction2, calcul, air, deliveri, requir, room, desert, cooler, gener, meant, larg, room, hal]",positive,88
"[good, experi, nice, cooler, 7500cool, great, even, lowest, speed, enough, 1010feet, roomautomat, fill, water, connectionlevel, indic, big, fan, height, also, goodfan, blade, steelhoney, comb, pad, good, experi]",positive,38
"[write, review, two, month, usag, prosi, use, cooler, hyderabad, around, eleven, x, fourteen, sq, feet, room, perfectli, realli, suit, whether, condit, air, flow, excel, ice, chamber, easili, movabl, use, four, wheel, providedlight, weight, vertic, swing, fill, complet, seventyf, liter, tank, get, almost, sixteen, hour, feel, better, perform, open, window, use, tray, ice, coolery, easili, remov, old, water, pl]",positive,90
"[gurgaon, fortyf, degre, work, speed, one, like, ac, happi, finish, best, realli, matter, give, cool]",positive,33
"[wonder, product, mention, price, rangeth, capac, 75l, make, wonder, use, product, one, refil, upto, three, days6, hr, dayit, easi, move, fill, water, inlet, pipe, done, fastth, inlet, front, allow, extern, pipe, fit, easilyth, cooler, take, five, min, reach, full, potenti, cool, room, easili, effectivelytemp, medium, size, hall, come, forti, twentyeight, celciu, fifteen, min]",positive,94
"[cool, good, depend, place, cooler, do, nt, place, cooler, close, window, humid, high, keep, distanc, atlist, eightynin, feet, window, open, window, i, ve, alreadi, tri, previous, close, window, felt, like, humid, wet, bodi, irrit, distanc, nine, feet, window, right, side, cooler, face, window, cool, awesom, i, m, decreas, fan, speed, night]",positive,89
"[order, 22nd, feb, 21got, deliv, 25th, feb, 21fastest, deliveri, flipkart, thought, earli, give, review, probut, three, month, usag, reviewssup, fabul, coolerno, need, aircondition, use, cooler, throughout, summer, get, good, sleep, night, whole, bedroom, get, cool, turn, ondidnt, face, issu, cooler, till, date, purchas, costli, air, condition, bear, electr, charg]",positive,80
"[went, buy, cooler, read, alreadi, post, review, devic, awesom, cool, room, five, min, even, though, never, oper, full, swing, room, get, realli, cold, night, extent, requir, someth, warm, cover, keep, good, work, crompton]",positive,56
"[good, cooler, cool, capac, good, best, thing, move, cooler, full, capac, 88l, one, place, anoth, use, ice, chamber, do, nt, use, ice, chamber, bcoz, cool, capac, good, u, do, nt, need, ice, use, 10day, post, review, without, 2nd, think, go]",positive,72
"[awesom, productaft, compar, variou, brand, like, symphoni, usha, orient, chosen, got, seven, thousand, six, hundr, work, effici, place, good, ventil, area, run, low, speed, better, cool, go, without, second, thought, wo, nt, regret, decis]",positive,54
"[best, bestit, king, desert, cooler, plastic, could, better, that, issu, close, eye, hit, buy, button, less, nois, great, air, deliveri, best, cool, four, way, deflect, may, need, extra, extens, board, move, heavi, tank, easi, wheel, lock, bewar, children, home, easili, put, handfing, insid]",positive,72
"[crompton, ozon, eightyeight, cooler, amaz, fulli, satisfiedthank, flipkartoveral, experi, good, valu, money, recommend, everyon, buy, cooler, without, doubt]",positive,31
"[good, air, deliveri, pro, con, heavi, air, deliveri, can, not, use, fan, otherwis, good, live, hot, dessert, area, buy, humid, coastal, area, effect, power, fan, instead]",positive,51
"[cooler, excel, give, air, upto, fifteen, feet, room, size, one, thousand, two, hundr, fifteen, feetgood, design, water, leak, 3speed, even, good, cool, lowest, speed, use, summer, forti, deg, c, nois, morebut, bearabl, honey, comb, mat, ad, advantagea, per, spec, consum, one, hundr, nineti, wattsmov, easi, castor, wheel, electr, chord, length, one, meteroveral, best, cooler, rang, recommand, othersi, rao]",positive,80
"[use, almost, month, one, thing, definit, need, know, keep, cooler, fresh, air, ventil, otherwis, room, becom, humid, cool, great, do, nt, know, exactli, provid, maximum, cool, make, room, humid, use, pune, climat, partial, job, anyon, good, experi, product, help, maximum, cool, achiev]",positive,89
"[best, product, pack, deliveri, love, product, total, satisfi, product, honey, comb, pad, good, extra, cool, price, good, deal]",positive,32
"[though, product, good, flipkart, servic, upto, markfirst, sent, damag, product, case, openno, shrink, wrapbroken, plugmultipl, damageseven, though, replac, polici, took, time, patienc, deliv, good, producti, fulli, recommend, buy, product, flipkart]",positive,54
"[excel, buy, bit, hesit, see, neg, review, even, hottest, day, cooler, keep, room, cool, ltl, ice, ad, top, tray, use, week, satisfi, purchas]",positive,41
"[write, review, one, week, usag, brilliant, cooler, price, got, seven, thousand, six, hundr, bank, discount, look, brilliant, white, blue, color, combin, easi, move, cool, nice, recommend, buy]",positive,44
"[good, product, crompton, flipkart, deliveri, good, product, deliv, origin, pack, given, specif, satisfi, product, cool, good, air, deliveri, also, nice, thank, flipkart]",positive,33
"[write, review, use, cooler, month, would, say, silent, enough, cool, bed, room, within, one, thousand, five, hundr, twenti, min, put, go, room, run, level, time, switch, pump, mid, night, start, feel, cold, effect, cool, run, well, invert, excel, build, qualiti, may, feel, fishi, smell, day, go, chang, water]",positive,99
"[best, classextrem, light, awesom, look, easi, maneuv, around, thank, four, wheel, corner, wheel, lock, featur, talk, main, function, cool, let, tell, worth, everi, penni, cool, room, around, ten, min, medium, size, got, five, iron, blade, work, fine, tank, capac, larg, would, recommend, go, lower, capac, would, cost, one, thousand, rupe, less]",positive,83
"[excel, cooler, actual, look, plastic, bodi, beautiful, look, air, cooler, replac, iron, bodi, exhaust, fan, cooler, five, hundr, sqr, ft, hall, though, cooler, realli, replac, exhaust, fan, cooler, use, week, say, cooler, best, among, excel, air, throw, high, cool, nois, level, nice, look, purchas, lot, research, happi, perform, better, option, crompton, optimu]",positive,93
"[write, review, use, cooler, four, month, nagpur, temperatur, goe, till, fortyeight, degre, extrem, hot, regionlight, weight, sturdi, stylish, make, lot, nois, either, cooler, work, absolut, fine, march, month, april, may, summer, peak, work, person, cooler, you, ll, keep, hardli, one, meter, away, feel, cool, air]",positive,83
"[cooler, pleas, expect, ac, like, cool, provid, good, amount, cold, air, room, may, becom, humid, placesregion, higher, humid, pleas, use, cross, ventil, valu, money, product, pretti, big, look, good, room, air, throw, suffici, room, one, hundr, fifti, thousand, two, hundr, fifti, sqft, size, deliveri, good, deliveri, personnel, went, way, help, get, huge, packag, 2nd, floor, thank, lot]",positive,95
"[cooler, home, deliv, came, good, condit, cooler, oper, simpl, wheel, sturdi, easi, move, around, main, problem, manual, manual, give, detail, clean, filter, drain, water, tank, manufactur, could, creat, simpl, youtub, video, left, amateur]",positive,73
"[excellentwil, feel, odour, one, two, day, due, honeycomb, smell, gopl, do, nt, forget, space, behind, cooler, otherwis, humid, increas, felt, chang, locationit, give, wonder, resultsrequir, ac, comfort, two, hourswat, tank, capac, good, last, whole, night, continu, usewat, level, indic, clear, wheel, good, lock, system, also, overal, worthi, good]",positive,83
"[give, review, four, month, usag, realli, good, cooler, cool, one, thousand, two, hundr, eleven, bedroom, within, two, hour, proper, ventil, lit, sound, think, sound, common, cooler, good, recommend, buy]",positive,49
"[wonder, product, expect, reduc, room, temperatur, nice, air, flow, intial, use, give, stink, smell, first, five, hour, everyth, seem, normal, ice, chamber, job, best, result, mix, ice, fill, tank, cord, length, small, manag, flipkart, deliv, week, pack, perfect, five, review, week]",positive,65
"[love, excel, air, thruogh, search, almost, fifteen, day, best, cooler, final, got, good, one, reason, price, thank, flipkart, crompton]",positive,25
"[air, throw, disappointingi, thought, good, cooler, mention, 450sq, feet, ca, nt, even, cool, littl, 150sq, feet, room, forti, degre, temp, also, tri, way, ventil, alway, creat, humid, that, bad, part, suggest, do, nt, buy, even, buy, local, brand, cooler, show, far, better]",negative,77
"[product, good, good, look, compact, designairflow, also, good, consid, medium, hallbut, problem, tri, adjust, ventsblad, automat, bend, downward, due, airforc, would, better, stand, still, howev, want]",positive,45
"[purchas, cooler, flipkart, amaz, product, valu, money, use, blanket, run, cooler, high, speed, even, hot, hummid, summer, guy, pleas, go, ahead, buy, cooler, chill, room, size, four, hundr, five, hundr, sqft, thank, flipkart, love, product]",positive,59
"[use, one, month, nice, product, work, well, less, sound, better, cool]",positive,14
"[excel, product, crompton, superb, cool, without, sound, light, weight, beauti, design, good, qualitythank, flipkart, amaz, producti, satisfi, purchas, thank, lot, seller, flipkart]",positive,33
"[old, model, do, nt, outlet, drain, dirti, water, clean, manual, lot, physic, work, usual, water, becom, stinki, month, remov, screw, use, motor, pump, water, screw, stainless, steel, get, rust, easili, make, difficult, remov, wheel, get, stuck, within, month, there, manual, remov, clean, honeycomb, posit, point, air, throw, capac, abil, cool]",negative,93
"[good, productreli, product, brand, disappoint, tym, return, usha, air, king, wastey, go, one, sure, good, air, thrownic, cool, ice, chamber, castor, wheel, evrythng, work, great, one, thing, want, highlt, front, louver, osclitor, good, work, perfectli, front, oscltor, hve, better, overal, great, buy, go]",positive,72
"[valu, money, bit, noisi, good, enough, larg, room, need, good, air, cross, section, water, capac, hugegood, air, throw, noisi, enough, keep, outsid, ca, nt, watch, tv, cooler, room]",positive,35
"[baught, cooler, look, number, review, rate, alway, expect, cooler, built, qualiti, good, main, function, cool, design, defect, water, suppli, channel, design, defect, none, honeycomb, panel, get, wet, complet, henc, cool, effect, less, peopl, may, notic, rel, hot, place, like, pune, mumbai, bangalor, etc, would, recommend, product]",negative,89
"[good, product, cross, ventil, room, product, nice, less, nois, give, instant, cool, air, littl, humid, fan, speed, good, appropri, valu, money]",positive,41
"[good, product, must, buy, three, side, honeycomb, pad, di, cooler, gave, nice, air, flow, exact, height, ten, cm, do, nt, hesit, buy, product, good, swing, nice, water, tank, capac, eightyeight, litr, got, good, deliveri, flipkart, crompton, good, brand]",positive,66
"[great, product, finish, product, look, like, brand, one, look, like, ordinari, roadsid, product, expect, type, product, crompton, share, view, two, day, usag, three, star, price, go, symphoni, trust, worthi]",negative,56
[good],positive,1
"[product, nice, good, motor, work, good, speed, cool]",positive,18
"[excel, air, cool, water, last, easili, two, night, n, cool, get, real, effect, u, place, near, window, n, ye, make, sure, chang, ur, water, everi, week, keep, clean, n, free, smell, size, similar, ur, sixteen, l, fridg, much, slimer, n, yeah, that, updat, review, soon, quarter, year]",positive,73
"[cool, excel, even, larg, hall, deliveri, product, realli, fast, got, item, 2day, first, time, experienc, fast, deliveri, pack, product, good, time, god, damag, found, coolercons1, cool, room, fast2, air, flow, also, good3, fan, blade, made, metal, blade, does, nt, bend, cooler, running4, motor, also, made, crompton5, ice, ad, chamber, also, realli, cool6, coaster, wheel, realli]",negative,86
"[place, well, ventil, area, cool, desert, cooler, pretti, decent, water, tank, eightyeight, liter, enough, full, day, continu, use, built, qualiti, robust, deliveri, experi, good, product, deliv, proper, compani, pack, handel, care]",positive,54
"[cooler, good, air, done, set, good, ok, happi, purchas, cooler, nice, product]",positive,26
"[honest, bit, sceptic, buy, product, wheather, abl, live, expectationsbut, use, product, last, five, month, remov, doubt, ye, small, shout, guy, ac, do, nt, expect, cool, entir, room, within, half, hour, work, like, window, ac, alli, share, tip, definit, help, get, decent, cool, experi, make, sure, water, f]",positive,98
"[honey, comb, cooler, giant, water, storagei, one, thing, like, much, air, throwi, satisfi, coolerpros1good, air, throw2chil, room, quickli, good, ventilation3invertel, competiblecros1som, time, make, humid, roomit, depend, climate2, high, speed, make, nois, adjust]",positive,51
"[good, product, deliveri, boy, good, best, coler, thank, filipcard]",positive,11
"[receiv, replac, previous, deliv, damag, product, replac, process, hassl, free, kudo, good, cooler, price, total, worthi, four, starsprosveri, good, cool, effectgood, breez, speed, breez, felt, even, fifteen, feet, awayconth, bodi, sturdi, although, call, weak, either]",positive,55
"[good, bodi, deliveri, product, safe, get, break, work, also, good]",negative,19
"[does, nt, look, much, fanci, rest, come, work, super, never, water, drop, window]",positive,21
"[good, fantast, purchas, love, crompton, brand, qualiti, meet, brand, valu, go]",positive,22
"[build, strong, dimens, good, fan, throw, good, goe, 20, ft, easilywheel, strong, easili, move, even, cooler, full, good, product, price, rang]",positive,33
"[satisfi, product, super, air, flow, amaz, built, qualiti, height, good, cool, also, good, offer, mani, featur, think, main, function, good, cooler, work, best, review, one, month, use]",positive,45
"[cooler, nice, drawback, well, focu, draw, back, whatev, featur, claim, upto, mark, one, use, one, person2, work, proper, cross, ventil, avail, wise, would, creat, unbear, humid, atmospher, room, house3, front, flab, loo, ene, use, guid, air, properli, everytim, guid, direct, irrit, especi]",positive,90
"[would, certainli, recommend, symphoni, cooler, rang, earlier, hav, experi, symphoni, purchas, one, month, agosymphoni, superior, crompton1, less, noise2, better, air, deliveri]",positive,34
"[well, confus, hindwar, crompton, final, went, motor, king, crompton, air, flow, awesomelight, weightcool, fantasticif, trust, brand, blindli, go, thiswin, win, situat, thank, flipkart, awesom, deleveri, experi, usual]",positive,49
"[crompton, 75l, desert, cooler, best, coolerit, cool, effect, good, even, moder, temperaturecool, remain, longer, time, onand, cool, larg, area, effect, cool, like, tower, person, coolerveri, happi, purchas, highli, recommend, better, effect, cool]",positive,50
"[excel, cooler, work, well, window, open, ventil, provid, decent, cool, water, ventil, provid]",positive,20
"[air, cooler, work, well, give, heat, relief, summer, heat, provid, cross, ventil, good, less, nois, better, connect, water, hose, air, cooler, directli, due, water, evapor, 70ltr, water, does, nt, last, whole, nightit, inbuilt, wheel, sturdi, move, across, room, highli, recommend, product]",positive,55
"[excel, air, cooler, happi, good, seller, good, flipkart]",positive,13
"[good, product, fulli, hot, summer, live, place, like, humid, area, help, cool]",positive,21
"[work, well, cool, also, greati, like, product, ill, also, get, great, deal, compar, market, price]",positive,22
"[deliev, twentyfour, hour, order, good, condit, well, pack, cool, good, compar, previou, cooler, worth, money, paid, good, servic]",positive,36
"[fantast, air, throw, yet, quiet, fan, great, cool, cool, design]",positive,12
"[ama, truli, satisfi, product, cool, room, well, even, temperatur, fortytwo, degre, celciu, live, place, temperatur, goe, forti, degre, mid, summer, stay, top, floor, sinc, use, cooler, problem, due, excess, temperatur, use, face, place, cooler, right, place, right, scientif, procedur]",positive,85
"[better, plastic, qualiti, symphoni, better, price, honey, comb, panelssleek, suggest, everi, symphoni, fan, give, tri, better, term, product, qualiti, symphoni, qualiti, decreas, lot, year]",positive,37
"[good, product, given, model, one, choos, deliv, safe, love, flipkart, servic, owe, till, thank, flipkart, team, wonder, job]",positive,29
"[short, better, snowcrest, eightyf, one, best, air, cooler, crompton, machin, less, noisi, air, throw, wide, that, snowcrest, get, beaten, bright, side, latter, throw, higher, volum, air, person, think, crompton, best, room, wherea, snowcrest, hindwar, better, suit, bigger, hall]",positive,66
"[best, price, rang, excel, air, throw, suffici, hall, adequ, cool, adequ, ventil, need, work, properlywork, best, kept, near, window, anoth, window, open, push, humid, outwat, last, one, two, daysthi, cooler, make, differ, hot, climat, bring, room, temperatur, new, smell, goe, week, good, choic, combat, summer, heatp, thank, flipkart, brilliant, deliveri]",positive,82
"[pro, best, cool, 75l, liter, capac, plastic, use, also, realli, good, con, plugg, cabl, length, even, half, meter, huge, nois, allow, sleep, point, like, give, ak47, without, bullet, wonder, gun, can, not, use, purpos, got]",positive,68
"[cooler, recd, good, condit, flipkart, within, deliveri, timequ, cooler, wise, per, expectationair, circul, flow, good, honeycomb, coll, effectthank, flipkart, provid, valuabl, product]",positive,34
"[good, product, work, best, kept, near, window, outsid, temperatur, low, cool, like, mini, ac, overal, nice, product, solv, purpos, place, temp, rais, thirtyf, thirtyeight, degre]",positive,37
"[nice, cool, breez, like, much]",positive,8
"[go, iton, best, model, best, cool, effici, compar, compani, place, window, enjoy, air, condit, love, iti, bought, nine, thousand, eight, hundr, seventyeight, offer, pricelov, alot, enjoy, chill, room]",positive,49
"[feel, fantast, good, air, cooler, size, design, good, compact, easi, transport, thank, flipcart, save, money, time]",positive,20
"[product, deliv, time, fk, gurugram, warehous, noida, receiv, good, condit, howev, scratch, visibl, deliveredproduct, good, work, expect, cool, two, hundr, sqft, draw, room, flat, hot, summer, end, april, noida, citi, cool, air, circul, felt, even, far, end, room, look, cooler, also, decent, finish, fine, corner, easi, move, within, room, outsideful, water, tank, goe, e]",positive,90
"[bought, compar, thirti, differ, type, cooler, cool, good, noth, compar, desert, cooler, like, kenstar, cyclon, twelv, observ, cool, pad, back, properli, soak, water, compar, side, cool, pad, mayb, reason, cool, lesser, still, better, cooler, marketprosit, look, classi, low, noisehug, 70l, tankpow, one, hundr, eighti, degre, airthrowconsno, indic, light, singl, switch, turn]",positive,84
"[omni, tech, retail, great, seller, good, deliveri, fantast, product, wish, xtra, good, pack, thank, flipkart, thank, ekart, also, thank, omni, teck, retail, seller]",positive,29
"[compolsori, need, ventil, otherwis, hot, u, ventil, part, room, go, n, feel, like, ac, cool, use, ice, cube, ice, chamberanyway, thank, u, flipu]",positive,33
"[review, product, 2week, usethi, cooler, good, air, throw, good, nice, coolingi, use, water, cool, niceif, u, add, ice, cube, feel, chill, air, throw, u, proper, ventil, room, open, window, doorsi, place, cooler, outsid, room, balconi, windowmi, room, size, one, hundr, eighti, squar, feet, cooler, air, throw, cover, whole, room, nois, low, like, tabl, fan, u, sleep, peac]",positive,84
"[worth, everi, singl, penni, bought, cooler, indoor, room, air, ventil, much, cooler, perform, realli, well, room, fan, motor, power, water, tank, also, good, capac, cool, room, well, ventil, get, air, ventil, perform, much, better, pleas, go, keep, mind, servic, cooler, expens, acbecaus, honey, grass, real, expens]",positive,92
"[pro, one, effici, blower, fan2, wide, distribut, breeze3, good, appealtrendi, strong, bodi, made, abs4, full, tank, water, last, full, day5, highli, portabl, castor, wheels6, silent, oper, full, speed, compar, brands7, cool, larger, area, advertisedcon, one, timer2, remot]",positive,48
"[awesom, cooler, cool, fast, great, work, summer]",positive,10
"[main, function, cool, amaz, product, capac, great, seventyf, litr, product, deliveri, realli, good, time, also, great, condit, recommend, ober, symphoni, cooler, valu, money, cool, incompar]",positive,49
"[bought, two, cooler, one, one, gap, two, week, cool, amaz, need, stand, coz, standerd, hight, compact, size, ice, chamber, strong, bodi]",positive,28
"[buy, true, valu, money, white, colour, beauti, look, wheel, move, around, easili, tank, capac, awesom, fab, cool, swing, option, also, ice, cabinet, top, cooler, pack, good, time, deluvari, realli, happi]",positive,52
"[excel, qualiti, like, c, cool, air, recommend, buy, instead, local, brand, zero, defect, look, wise, good, deliveri, within, seventytwo, hour, thank, flipkart, delhiveri, transport, safe, deliveri]",positive,45
"[plastic, good, qualiti, leakag, blow, air, high, speed, use, long, hall, small, room, might, problem, nois, keep, distanc, see, effect, mode, work, fine, deliveri, fantast, deliv, mini, truck, carri, two, guy]",positive,53
"[amaz, air, coolerit, almost, fortyf, degre, gujarat, summersit, highli, effect, even, temperatur, alsooveral, huge, machin, creat, almost, neglig, noiselov, larg, yet, effect, air, cooler, crompton]",positive,35
"[design, good, worth, itcool, ok, ok, air, distribut, also, normalwil, recommend, go, local, cooler, deliv, chill, air, one, cheaper, also]",positive,35
"[nice, product, easi, maintain, quit, effici, function, give, five, star, rate]",positive,19
"[best, deliveri, flipkart, amaz, cooler, cromptoni, bought, ozon, 55lt, air, cooler, power, air, throw, quit, good, cool, capac]",positive,25
"[good, product, time, deliveri, good, offer, got, happi, use, chennai, sunni, day]",positive,19
"[good, cooler, decent, airthrowi, resid, top, floor, delhiit, give, perfect, cool, till, dateonli, need, cross, ventil, better, circul]",positive,25
"[awesom, cooler, got, seven, thousand, nine, hundr, ninetynin, great, deal, use, well, vanitl, room, work, like, ac]",positive,31
"[wow, super, cool, deliveri, date, 27may, excel, fast, flipkart, deliv, 24may]",positive,15
"[nice, product, best, product, among, cooler, avail, marketcool, calm, use, big, well, small, room]",positive,25
"[good, look, nice, cool, good, storag, capac, good, build, qualiti, strong, wheel]",positive,13
"[size, compact, look, wise, good, nois, lessdeliveri, pack, good, tooi, paid, cash, deliveri, cool, good, enough, roomi, think, suitabl, big, hall]",positive,32
"[cooler, compact, movabl, look, wise, greatperform, good, excel, extrem, heat, does, nt, cool, otherwis, also, difficult, clean, tank, lead, stink]",neutral,32
"[genuin, feedback, cooler, cool, averag, prevent, hot, air, blown, natur, hot, climat, summer, u, get, air, like, raini, day, noth, els]",positive,35
"[superb, cooler, work, like, 1tonac, room, satisfi, product, happili, go]",positive,17
"[best, air, cooler, worth, money, work, like, acand, compat, invert, also]",positive,13
"[great, product, crompton, nice, cool, nice, look, nice, wheel, go, itonli, concern, length, power, cord, manag, extens, cordboard]",positive,27
"[write, review, use, product, monthth, built, qualiti, good, cool, effici, nice, place, near, windowth, concern, water, outlet, found, bottom, want, releas, water, clean, cooler]",positive,53
"[excel, recommend, need, fill, drink, water, 25ltr, ten, hour, approxim, use, soft, water, drink, best, retain, water, pump, life, littl, bit, noisi, fast, mode, use, twenti, x, eleven, sqft, area]",positive,41
"[cooler, great, tough, serv, water, littl, difficult, water, resourc, less, term, cooler, great, enough, big, hall, 25x30, ft]",positive,35
"[first, big, thank, flipkart, fast, deliveri, love, product, crompton, recommend, anyon, want, purchas, product]",positive,27
"[good, productus, hall, sit, sofay, feel, cool, airit, decent, height]",positive,21
"[crompton, ozon, seventyf, one, best, desert, air, cooler, market, amaz, product, great, featuresless, noisi, good, cool, one, import, featur, cooler]",positive,34
"[purchas, seven, thousand, five, hundr, fifti, amaz, cooler, like, ac]",positive,16
